block_id,trip_id,trip_headsign,departure_time,arrival_time
bramp020,20171021-36-36861,36 - Brampton Term,23:20:00,24:15:00
bramp020,20171021-18-18993,18D - Clarkson GO,25:30:00,26:00:00
bramp021,20171021-36-36570,36 - York Mills Term,16:30:00,17:35:00
bramp021,20171021-36-36651,36 - Brampton Term,17:50:00,18:55:00
bramp021,20171021-36-36720,36 - York Mills Term,19:30:00,20:25:00
bramp021,20171021-36-36771,36 - Brampton Term,20:50:00,21:45:00
bramp021,20171021-36-36830,36 - York Mills Term,22:30:00,23:20:00
bramp021,20171021-36-36891,36 - Brampton Term,24:20:00,25:15:00
bramp022,20171021-31-31660,31L - Union Station,17:15:00,18:10:00
bramp022,20171021-31-31681,31L - Bramalea GO,18:30:00,19:15:00
bramp022,20171021-31-31750,31L - Union Station,19:45:00,20:35:00
bramp022,20171021-31-31801,31L - Bramalea GO,21:30:00,22:10:00
bramp022,20171021-31-31920,31E - Union Station,24:00:00,25:30:00
bramp022,20171021-31-31951,31E - Georgetown GO,26:30:00,27:55:00
bramp023,20171021-36-36630,36 - York Mills Term,17:30:00,18:35:00
bramp023,20171021-36-36691,36 - Brampton Term,18:50:00,19:50:00
bramp023,20171021-36-36760,36 - York Mills Term,20:30:00,21:25:00
bramp023,20171021-36-36811,36 - Brampton Term,21:50:00,22:45:00
bramp023,20171021-36-36860,36 - York Mills Term,23:30:00,24:20:00
bramp023,20171021-36-36921,36 - Brampton Term,25:20:00,26:15:00
bramp024,20171021-31-31680,31L - Union Station,17:45:00,18:40:00
bramp024,20171021-31-31701,31L - Bramalea GO,19:00:00,19:45:00
bramp025,20171021-31-31742,31F - Union Station,18:55:00,20:30:00
bramp025,20171021-31-31773,31F - Georgetown GO,20:50:00,22:10:00
bramp025,20171021-31-31890,31E - Union Station,23:00:00,24:30:00
bramp025,20171021-31-31921,31E - Georgetown GO,25:30:00,26:55:00
brant001,20171021-15-15170,15 - Aldershot GO,05:56:00,06:46:00
brant001,20171021-18-18250,18 - Aldershot GO,07:31:00,07:46:00
brant001,20171021-15-15081,15 - Brantford Term,07:59:00,08:49:00
brant001,20171021-15-15440,15 - Aldershot GO,09:56:00,10:46:00
brant001,20171021-18-18201,18 - Hamilton GO,10:59:00,11:14:00
brant001,20171021-18-18490,18 - Aldershot GO,11:31:00,11:46:00
